Name of the company,Location,Listed,Products,Revenue ,EBITDA (IN MILLIONS),Website
OSRAM LIGHTING PVT LTD,,,,,,
OSWAL MOTO CORP,DELHI,NO,"Small Kits, Brake Drums and Discs, Plastic Show Components, Fender Linings, Suspension, Components, Gearbox Components, Nuts and Bolts, Tie Rods and Draglinks, Cabin,Components, Differential Components, King Pins & Components, Hoses & Mountings, Hub Bolts, Clutch Components, Flanges, High Pressure Pipes",,,https://www.jaiparas.in/
OSWAL POLY RUBBERS,HARYANA,NO,"manufacturer of durable, high quality Rubber Mats, flaps & components for domestic & automobile industry.",,,https://polymaid.com/
OTOBOTS RETAIL PVT LTD (OTOBOTS),,,,,,
"OTTER CONTROLS ASIA, CHINA",OVERSEAS,,,,,
OTTER CONTROLS INDIA PRIVATE LIMITED,,,,,,
"OTTER CONTROLS LIMITED, UK",,,,,,
"OTTER CONTROLS SHENZEN, HK",,,,,,
PACE TECHNOLOGIES,OVERSEAS,,,,,
PACOLINE INDUSTRIES PVT LTD,,,,,,
PADMASHREE INTERNATIONAL,,,,,,
PADMINI VNA MECHATRONICS LIMITED,,,,,,
PAL RADIATORS,HARYANA,NO,"Radiators, charge Air coolers and condensers for passenger Vehicles, Heavy commercial Vehicles, OFF Road Highway Vehicles, Industrial, Agriculture and Stationary Engines Etc.",,,https://palradiators.com/about-us/
PAL SHELLCAST LTD,GUJARAT,NO,"Cylinder Liners, Sleeves, Air-cooled Barrels and Water-cooled Barrels. WESTERN GROUP is a pioneer manufacture of highly qualitative and critical parts for Tractors, Commercial vehicles, Cars, Two wheelers, Three wheelers, Compressors and Stationery Diesel Engines, catering requirements of almost all major OEMs for their domestic as well overseas market since more than 5 decades.",,,https://www.westernautoindia.com/foundry.html
PALLEO INTERNATIONAL,DELHI,NO,"Glow Plug Timers, Reverse Horn, Front Horns, Horn Relay & New Generation Relay, Fan Controller Relay, Head Lamp Relay, ACC Relay, 7 Way Melody Maker",,,https://www.palleo.in/contact/
PARACOAT PRODUCTS LIMITED,,,,,,
PARAS CAR ACC,,,,,,
PARAS ENTERPRISES,DELHI,NO,"Heat Shinkable Tubing, heat Shrink Sleeves, Heat Shrink Protectors, splice protection sleeves & other heat shrinkable sleeves",,,https://www.parasenterprises.com/index.php
PARIVAHAN SAMPDA,,,,,,
PARKER - pcp AUTOCOMPONENTS PVT LTD.,,,,,,
PAUL COMPONENTS PVT. LTD,DELHI,NO,"rotary shaft, valve stem seal and precisioned shaft sleaves. The firm caters to the need of automotive, industrial and defence sectors.",143.51 (2023),10.59 (2023),http://www.paulcomponents.com/
PBM INSULATIONS PVT LTD,,,,,,
PD PLAST (INDIA),,,,,,
PEARL ENGIEERING CO,,,,,,
PENTAGON TAPES PVT LTD,MUMBAI,NO,"manufacturing of pressure sensitive adhesive tapes. Its products include double-sided tapes like acrylic foam, polyester film, tissue double-sided tapes, polyester foam, transfer tapes, and solvent-free double-sided tapes; and single sided tapes such as removable tapes.",172.32 (2023),39.26 (2023),https://pentagontapes.com/index.php
PERFECT PLASTIC (INDIA),,,,,,
PHC VALEO AUTOPARTS PVT LTD,,,,,,
PHINIA DELPHI INDIA PRIVATE LIMITED,,,,,,
PHINIA INC,,,,,,
PIANO PRESITEL,,,,,,
PIANO PRESITEL INDUSTRIES PVT. LTD,MAHARASHTRA,NO,"Deep Drawn Parts, Clutch Assembly Parts, Vehicle Assembly Parts, Machine Product Parts, Brake Assembly Parts, Other Product Parts",,,http://www.pianopresitel.com/index.html
"PIOLAX (CHINA) LTD (SHANGHAI, CHINA)",,,,,,
PIOLAX (THAILAND) LTD.,,,,,,
"PIOLAX CO., LTD., SOUTH KOREA",,,,,,
"PIOLAX CORPORATION, USA",,,,,,
"PIOLAX INC, JAPAN",,,,,,
PIOLAX INDIA PRIVATE LIMITED,ANDHRA PRADESH,NO,"fasteners, ope-closed parts, clamps, fuel parts, harness clips, protectors, precision parts and power train parts.",679.30 (2023),113.10 (2023),https://www.piolax.co.jp/en/correspondents/report2012-02/
PIOLAX LTD„ UNITED KINGDOM,,,,,,
"PIOLAX MEXICANA SA DE C.V., MEXICO",,,,,,
PIONEER DIGITAL INDUSTRY PVT. LTD.,FARIDABAD,NO,"Battery Load Tester, Battery Charger, Injector Cleaner And Tester, Spark Plug Cleaner Tester, Nitrogen And Air Inflator, Tyre Inflator and Motorcycle Battery Charger.",,,
PIX TRANSMISSIONS LTD,,,,,,
"PIXELPLUS CO., LTD.",OVERSEAS,,,,,
PLASMA INDIA,,,,,,
PLUZON STORE PRIVATE LIMITED,,,,,,
POLYHOSE INDIA PVT LTD,CHENNAI,NO,"rubber hydraulic and industrial hose. Its product includes thermoplastic hose, polytetrafluoroethylene hose, industrial hoses, rubber hose, composite hose, and large bore industrial hose.",,,https://www.polyhose.com/products/
POLYPLASTICS GROUP OF COMPANY,,,,,,
POLYPLASTICS INDUSTRIES (l) PVL LTD.,GURUGRAM,NO,"electroplated, plated, hot stamped; automotive plastic molded components; wheel covers; electroplated parts like radiator grills, license plates garnish, hood strips; door handles, ashtrays, fuse box assemblies, etc.",631.33 (2022),69.07 (2022),https://polyplasticsindia.com/
POWER MAX RUBBER FACTORY,,,,,,
PRAMOD AUTO PARTS PVT LTD,DELHI,NO,"wiper frame blade, air cleaner assembly and filter, brake parts, automotive spare parts, body fitting parts, axle parts, carburetor parts, a-star car and celerio etc.",92.01 (2023),1.94 (2023),https://www.pramodmarutiparts.com/
PRANAVVIKAS INDIA PVT. LTD.,,,,,,
PRATHAM IMPEX,,,,,,
PRECISION AUTOWARES P LTD,GUJARAT,NO,"auto parts, automotive oil, pump, gear pump, hydraulic gear Pump, hydraulic pump.",208.80 (2024),15.32 (2024),http://precisionautowares.net/
PREMIER AUTO CABLES,,,,,,
PREMIER SEALS INDIA PVT LTD,,,,,,
PRESTO STANTEST PVT. LTD,,,,,,
PRF MANUFACTURING- MICHIGAN,,,,,,
PRIME AEROSOLS,,,,,,
PRINTEMPORIO CORPORATION PVT LTD,,,,,,
PRIUS AUTO INDUSTRIES,HARYANA,NO,"manufacturer of injection moulded , Chrome plated ,3D & 7 D Mats, Painted parts , sheet metal and fiber auto components and accessories.",,,https://priusauto.com/about-us/
PROGRESSIVE STEEL AUTOMOTIVE SOLUTION PVT LTD,DELHI,NO,Motorcycle sprocket,,,https://progressivesteels.com/
PT MINDA ASEAN AUTOMOTIVE,,,,,,
PT MINDA TRADING,,,,,,
PT. PIOLAX INDONESIA,,,,,,
PTE GMBH,,,,,,
PUBLISH INDUSTRY INDIA EFFICIENT MANUFACTURING MAGAZINE,,,,,,
PUNCH RATNA FASTENERS PRIVATE LIMITED,,,,,,
PV CLEAN MOBILITY TECHNOLOGIES,,,,,,
PYKEN INDUSTRIES,,,,,,
QH TALBROS PRIVATE LIMITED,,,,,,
R K CAR PALACE,,,,,,
R P GOEL & SONS,DELHI,NO,"steering boxes, crown wheel and pinion, transmission gears, bevel kit, steering shaft, gear fork, clutch plates, gear fork, clutch facings, clutch lever kit, bull gear, rear axle, etc.",,,https://www.rpgtractors.in/
R S INDUSTRIES,,,,,,
R. K. PROFILES PRIVATE LIMITED,FARIDABAD,NO," rubbers sponge rubber profiles, silicone compatible, ethylene propylene diene terpolymer rubber profiles, windshield profiles, container seals and door rubber.",253.55 (2023),21.87 (2023),https://rkprofiles.com/
R.M. ENGINEERING,GUJARAT,NO,Brake Disc & Drum.,,,https://rmengineering.net/about-us
RP AUTOSTYLES,NOIDA,NO,SEATS,,,https://rpautostyles.in/index.html
R.R. INTERNATIONAL,,,,,,
R.V.INDUSTRIES,,,,,,
RAAJ OILS,,,,,,
RAAJ UNOCAL LUBRICANTS LTD,,,,,,
RACL GEARTECH LTD,,,,,,
RADHE AUTO INDUSTRIES PVT LTD,,,,,,https://www.radheautoindustries.com/
RAJAN AUTO INDUSTRIES,,,,,,
RAJATDEEP OVERSEAS PRIVATE LIMITED,,,,,,
RAJKOT ENGINEERING ASSOCIATION,,,,,,
RAJMOTI METALS PVT LTD,,,,,,
RAMANIKA OVERSEAS LLP,,,,,,
RAMBAL PRIVATE LIMITED,,,,,,
RAMDAS AGARWAL & BROTHERS,,,,,,
RAMSAYS CORPORATION PRIVATE LIMITED,,,,,,
RANE (MADRAS) LIMITED,,,,,,
RANE BRAKE LINING LIMITED,,,,,,
RANE ENGINE VALVE LIMITED,,,,,,
RANE GROUP,,,,,,
RANE NSK STEERING SYSTEMS PVT.LTD,,,,,,
RATNAVEER PRECISION ENGINEERING LIMITED,,,,,,
RE COMPONENTS PVT LTD,,,,,,
RELIABLE MECHATRONICS PRIVATE LIMITED,PUNE,NO,"panel switches, plunger type switches, door light switch, push button switch, push-pull type switches, headlamp leveling switch, window winding switches, lamps, battery cut off switch, etc.",202.83 (2023),46.84 (2023),https://www.rmpl.co/about_us.html
RENATA MECHATRONICS PVT LTD. PUNE,,,,,,
RENATA PRECISION COMPONENTS PVL LTD.,PUNE,NO,"Renata Mechatronics Pvt. Ltd. is engaged in manufacturing of precision products. Its products include moulded parts, stamped parts, hybrid moulded parts, assemblies and tooling. The company was incorporated in 2009 and is based in Pune, Maharashtra. ",,,https://www.renata.co.in/products.html
RESIL CHEMICALS PVT. LTD. (VISTA AUTOCARE),,,,,,
RETRO SOLUTIONS,,,,,,
RICO AUTO INDUSTRIES LIMITED,,,,,,
RICO AUTO INDUSTRIES LTD,,,,,,
RICO FLUIDTRONICS LIMITED,,,,,,
RICO JINFEI WHEELS LIMITED,,,,,,
RIKKI PLASTIC PVT LTD,FARIDABAD,NO,"2 wheeler components, 4 wheeler components, and other components.",,,https://rikkiplastic.com/contact-us.php
"RINDER RIDUCCO, SAS. COLUMBIA",,,,,,
RING PLUS AQUA LTD,,,,,,
RIO TECHNOCAST,,,,,,
RMP BEARINGS LTD,,,,,,
RMW INTERNATIONAL,,,,,,
RNR DATALEX PVT LTD,,,,,,
ROBERT BOSCH AUTOMOTIVE STEERING PRIVATE LIMITED,,,,,,
ROCKMAN INDUSTRIES LTD.,,,,,,
ROGER AUTO MANUFACTURES PVT LTD,,,,,,
ROGER MOTORS PVT LTD,,,,,,
ROHNIL,,,,,,
ROHNIL ELASTOMERS.,,,,,,
ROHNIL POLYMERS,,,,,,
ROKI UNO MINDA COMPANY PRIVATE LIMITED,,,,,,
ROOP AUTOMOTIVE LIMITED,,,,,,
ROOP KOEPP FOAM TECHNOLOGIES P LTD,GURUGRAM,NO,"sealers, dampers, insulation, spacers, lids, padding, nvh, expansion joints and isolation mounts",155.73 (2023),17.70 (2023),https://www.roopkoepp.com/about-us/
ROOP POLYMERS,,,,,,
ROOP TEKNO POLYMERS P LTD,GURUGRAM,NO,"manufacturing of polymer, synthetic, pvc water storage tanks and other plastic products.",223.12 (2023),20.56 (2023),https://rooptekno.com/
ROOTS INDUSTRIES INDIA PRIVATE LIMITED,,,,,,
ROSE INDUSTRIES,,,,,,
ROTARY ELECTRONICS PRIVATE LIMITED,BENGALURU,NO,"manufacturing of automotive components, sub assemblies, and connectors. Its products are categorized into sensors, switches, relays, and solenoid, electronic control unit, and mechanical components. Its sensor products are water auto drain systems, water in fuel sensors, speed sensors, temperature sensors, and accelerator pedal module. Its switch products are reverse gear switch, pressure switch, vacuum indicator or switch etc. Its relays and solenoid products are a miniature solenoid valve and glow plug relays etc. Its mechanical components are fuel injection pump parts, filter parts, alternator parts, starter motor parts, and wiper motor parts etc.",425.96 (2023),37.35 (2023),https://rotaryelectronics.com/auto-electrical-products-sub-assemblies/
ROTEX AUTOMATION LIMITED,,,,,,
ROTEX ENGINEERING,GUJARAT,NO,BRAKES,,,https://rotexengineering.com/index.php
RS CORPORATION,,,,,,
RUANMI TECHNOLOGY PVT LTD.,,,,,,
RUKMAN UDYOG,DELHI,NO,SUSPENSION PARTS,,,https://rukmanudyog.com/about-us/
S K ENTERPRISES,,,,,,
"S&V GROUP, USA",,,,,,
S. K. SPRING CO.,GURUGRAM,NO,"manufacturing and supplying springs, sheet metal components and filters for automotive sector. Its products include precision springs, automobile oil filters, sheet metal components and strip forming components.",,,https://skspring.com/about-us/
SAC ENGINE COMPONENTS LTD.,,,,,,
SACHIARA AUTO SYSTEM COMPANY,,,,,,
SAGAR AUTO PARTS PRIVATE LIMITED,PUNE,NO,"exhaust mufflers, chassis assemblies, engine mounting brackets, and tubular manifolds,",,,https://sagarautoparts.com/about/
SAHAJANAND LASER TECHNOLOGY LIMITED,,,,,,
SAI AUTOMOBILE,,,,,,
SAI ELECTRONICS,,,,,,
SAIFI UDYOG PVT LTD,,,,,,
SANEST TUBES PRIVATE LIMITED,GUJARAT,NO,manufacturer & exporter of carbon and alloy steel seamless tubes and pipes in straight and U-bend conditions.,,,https://www.sainest.com/about.html
SAINI BRAKE SYSTEM PVT. LTD,DELHI,NO,"hydraulic wheel cylinders, master cylinders, clutch cylinders, slave cylinders, servo boosters, unloader valves, etc.",16.31 (2023),1.21 (2023),https://www.sainiautoparts.com/
"SAINI POLYMERS PVT. LTD., JALANDHAR (PUNJAB)",,,,,,
SAKET FABS PVT LTD.,,,,,,
SALASAR INDUSTRIES,SECUNDRABAD,NO," galvanised tubes, seamless tubes, large dia pipes, ductile iron pipes, scaffolding accessories, etc.",290.92 (2021),7.24 (2021),https://www.salasarindia.com/
SALERI INDIA PVT LTD,PUNE,NO,"integrated thermal management module, e-pumps, mechanical water pumps, switchable water pumps, electromechanical pumps.",332.13 (2024),-94.92,https://www.saleri.com/
"SALERI MEXICO S.A. DE C.V., MEXICO",,,,,,
"SALERI SHANGHAI CO. LTD, CHINA",,,,,,
"SALERI THERMAL MANAGEMENT COMPETENCE CENTER, GERMANY",,,,,,
SAM GLOBAL PTE LTD,,,,,,
SAMKRG PISTONS AND RINGS LTD,HYDERABAD,YES,PISTON AND RINGS,2453.32 (2024),329.69 (2024),https://www.samkrgpistonsandrings.com/
SANDEN VIKAS (INDIA) PRIVATE LIMITED,,,,,,
SANGSIN BRAKE INDIA PVT LTD,CHENNAI,NO,"brake pad, brake shoe assembly, brake shoe, brake lining for buses, brake lining for cargo vehicles, rail brake, and retarder.",1985.59 (2024),211.48 (2024),https://www.sangsin.com/eng/company/info/history
SANKAR SEALING SYSTEMS PVT LTD,CHENNAI,NO," includecylinder head gaskets, manifold gaskets, soft gaskets, rubber gasket and mouldings and jointings flexoid.",658.74 (2021),109.46 (2024),https://sankar.com/
SAR COATINGS LLP,,,,,,
SARASWATI ENTERPRISES,,,,,,
SARVESHWARI TECHNOLOGIES LTD,,,,,,
SASH AUTOTECH PVT LIMITED,,,,,,
SATA VIKAS INDIA PVT LTD.,HARYANA,NO,"connecting rods, exhaust manifold, flywheel, catalytic cone, bearing carrier, wheel hub, differential case, steering knuckle, rotor, shaft rotor reno, shaft rotor, front housing etc.",2510.70 (2023),342.32 (2023),https://www.vikasgroup.in/sata-vikas
SATNAM AUTO PARTS INDIA,,,,,,
SATYAM AUTO PRODUCTS,GUJARAT,NO,"Engine Valve, Valve Guide, Rocker Arm, Piston Kit, Camshaft Assembly and Connecting Rod Assembly",,,https://www.satyamauto.com/about.php
SCANTECH INDIA,,,,,,
SCHAEFFLER INDIA LIMITED,,,,,,
SCOOTER ASIA,,,,,,
SCOOTER MOTORCYCLE GUIDE,,,,,,
SCOOTER TIMES,,,,,,
SEBROS AUTO PRIVATE LIMITED,DELHI,NO,"automotive tubular components, fabrication assemblies, machined parts, and liquefied petroleum gas (LPG) suction pipe assemblies.",2430.57 (2023),208.96 (2023),https://sebrosgroup.com/website/
SEG AUTOMOTIVE INDIA PVT LTD,,,,,,
SEJONG TESK VIKAS INDIA PVT. LTD.,,,,,,
SEKISUI DUM MOLDING PVT LTD,,,,,,
SELLOWRAP INDUSTRIES LTD,MUMBAI,NO,"blow films, injection moulded components, film components and poly urathane foams.",1317.65 (2023),102.96 (2023),https://www.sk-group.in/
SENSING TECHNOLOGIES P LTD,MUMBAI,NO,"Thermostats, temperature sensors, inductive pick up sensors, hall effect sensors, body electronics.",269.72 (2023),-7,https://stech.in/
SENSORTEC INNOVATION INDIA PVT. LTD.,,,,,,
SETCO,MUMBAI,NO,"clutch including lipe clutch, pull type clutch, coil and diaphragm clutch, and push type clutch; isolators and pressure converter.",11.50 (2024),5.53 (2024),https://setcoauto.com/
SGS TEKNIKS MANUFACTURING PVT. LTD.,,,,,,
SHAKTI AUTOMOTIVE COMPONENTS PVT LTD,TAMIL NADU,NO,"car clutch facing, clutch facings & clutch facing.",38.93 (2024),0.62 (2024),https://www.sakthiauto.com/
SHARDA AUTO INDUSTRIES LTD,MAHARASHTRA,NO,manufacturing and supplying of conventional and parabolic leaf springs.,476.95 (2023),12.78 (2023),https://www.shardaauto.in/
SHARDA ISPAT LTD,MAHARASHTRA,YES,"torsteel, TLT angles, heavy rounds, spring steel flats.",2272.65 (2024),210.03 (2024),https://shardaispat.com/
SHARDA SHREE ISPAT LTD,,,,,,
SHEELA FOAM LTD,,,,,,
SHEELA GROUP,,,,,,
SHEKHAR BROTHERS,,,,,,
SHINDENGEN INDIA LTD.,BENGALURU,NO,"semiconductors, power management electronics, environment and energy products and actuator products. It offers online purchase of semiconductors.",5689 (2023),817.87 (2023),http://www.shindengen.com/
SHIV GORAKH ENGINEERING WORKS LLP,JAIPUR,NO,"Alternator bearing, Electric mirror, Electric window motor or Steering column bearing.",,,https://www.sgewjaipur.com/page/company-profile
SHIV SHAKTI MOTORS,,,,,,
SHIVA UDYOG,,,,,,
SHOLPHIN INDIA,,,,,,
SHREE FITTINGS,,,,,,
SHREE JEE FORGINGS,,,,,,
SHREE RAMDEV METALEX LLP,,,,,,
SHREE SAINATH INDUSTRIES,GUJARAT,NO,"oil pumps, water pumps, spare parts, balancer assembly unit, hydraulic pumps etc. Its spare parts include gears for Mercedes application, rotor ford, land rover spares, cam gear, exhaust manifold, filter and basket for various applications, shafts, and drive gears, oil seal etc.",,,http://www.shreesainathindustries.com/
SHREEJI AUTOMOTIVES,,,,,,
SHRI BALAJI TRADING COMPANY,,,,,,
SHRI KRISHNA POLYURETHANE INDUSTRIES (P) LTD,,,,,,
SHRI SALASAR AUTO STORE,,,,,,
SHRIRAM PISTONS & RINGS LIMITED,,,,,,
SHRIRAM PISTONS & RINGS LTD.,,,,,,
SIDHI VINAYAK ENGINEERS,,,,,,
SIECHEM TECHNOLOGIES PRIVATE LIMITED,,,,,,
SIGMA AUTOMOTIVE MATERIALS PVT LIMITED,HARYANA,NO,"cast iron rings, forgings, fabricated metal sheet, metal stampings, tubes,tools, die, moulds and fixtures.",487.82 (2021),51.59 (2021),https://www.sigma-sam.com/
SIGMA CORPORATION (INDIA) LIMITED,DELHI,NO," vertical; automotive component and heavy duty component. Its products include link bars, die casts, pneumatic mounts, bushes, exhaust rubber parts, suspension wish bones, harmonic balancers, vibration dampers, spring brakes, rollers, pins, nuts, cam shaft repair kits, and wheel nuts and studs. Additionally, it provides clamps, torque arms, aeration and rotary blades, and rubber rollers.",1627.02 (2023),849.80 (2023),https://www.sigmacorporation.com/
SIGMA MOULDS AND STAMPINGS PVT LIMITED,GURUGRAM,NO,"brake parts, air suspension parts, anti vibration parts, seat parts, precision and general industries.",709.57 (2023),66.49 (2023),https://www.sigmacorporation.com/
SILCO CABLES,DELHI,NO,"clutch cable, gear cable, throttle cable, brake cable, choke cable, speedometer cable, seat lock cable etc.",,,https://silcoautomotive.in/
Silcomp France S.a.s,OVERSEAS,,,,,
SIMPSON & CO. LTD,,,,,,
SINTERCOM INDIA LTD,PUNE,YES,"high strength gears, belt pulleys, chain sprockets, valvetrain components, synchronizer hubs, dog rings, synchronizer modules, body steels, hego boss, flanges etc.",877.11 (2024),146.48 (2024),https://sintercom.co.in/
SIROCCO PRESSINGS PVT. LTD,,,,,,
SKAS AUTOTECH PRIVATE LIMITED,GURUGRAM,NO,ENGINE GASKETS,,,https://www.skasauto.com/
SKAS AUTOTECH PVT LTD,,,,,,
SKP BEARING INDUSTRIES LTD,GUJARAT,YES,BALL BEARING,518 (2024),175 (2024),https://skpbearings.com/
SKY WORLDWIDE,,,,,,
SKYLON GROUP,,,,,,
SKYLON HELMETS,,,,,,
SMALLEY,OVERSEAS,,,,,
SMR BEARING PVT LTD,,,,,,
SMR ENTERPRISES,,,,,,
SOFTUDE INFOTECH PVT. LTD.,,,,,,
"SOFTUDE, EVENDIGIT",,,,,,
SOGEFI ADM,PUNE,NO,"stabilizer bars, torsion bars, helical springs, stabilinks, leaf springs and track tensioners.",1628.49 (2024),210.95 (2024),https://www.admgroupindia.com/sogefi-adm
SOLLOWRAP EPP INDIA PVT LTD,,,,,,
SOMIK ENTERPRISES PVT LTD,,,,,,
SONU HOSE PVT LTD,DELHI,NO,,,,https://sonuhose.in/#about
SOUND RACE,,,,,,
SPAL AUTOMOTIVE,OVERSEAS,,,,,
SPAL AUTOMOTIVE TECHNOLOGY INDIA PRIVATE LIMITED,,,,,,
SPARK MINDA GROUP,,,,,,
SPR EMF INNOVATIONS PVT. LTD.,,,,,,
SPR ENGENIOUS LTD.,,,,,,
SPR TAKAHATA PRECISION INDIA PVT LTD.,,,,,,
SR GREEN PRODUCTS,,,,,,
SRN ENTERPRISES,,,,,,
"ST. DAVIS ASSEMBLY, UK",,,,,,
STANLEY ENGINEERED FASTENING,TAMIL NADU,NO,"aerospace fasteners, assembly tools and systems, automated fastening equipment, blind fasteners and inserts, drawn arc weld systems, fasteners for plastics, metal fasteners, plastic fasteners and clips, self-drilling screws, self pierce riveting, thread-forming screws, threaded inserts, torque nuts, weld studs, and threaded assembled products.",3307.68 (2023),187.84 (2023),https://www.stanleyengineeredfastening.com/en
STAR ENGINEERS INDIA PVT LTD,PUNE,NO,"sensors, flasher, usb charger, battery charger unit etc.. The firm facilitate research and development, vehicle testing simulation, reliability section, inward inspection, automatic optical inspection, routing machine, robotic soldering, potting and testing section services.",3405.03 (2023),198.24 (2023),https://www.starengineersindia.com/
STAR EQ,,,,,,
STAR SINTERED PRODUCTS LTD.,NOIDA,NO,"home appliances, transmission, valve seats and structural, lock parts and automotives.",1080.20 (2023),68.33 (2023),https://www.starsintered.com/
STEEL BIRD INTERNATIONAL,DELHI,NO,"air filter, fuel filters, oil filters, reticulated foam filters, silent block, oil seals, rubber joints, suspension rubber bushes, rubber boots hoses and bellow, footrest kick lever and rubber matting.",,,https://steelbird.com/#
STEEL STRIPS WHEELS LIMITED,,,,,,
STEEL TECH INDUSTRIES,GUJARAT,NO,"Sheet Metal Fabrication, CNC Laser Cutting, Bending and Welding Services,Shoe Rack,Cable Duct,Material Storage M.S. Pallet,Material Transport M.S. Pallets,Hydraulic Tank,S.S. Tank,M.S. Grating
Sheet Metal Components, Enclosure Fabrication, Tank and Hopper Fabrication, etc",,,https://steeltechind.com/about-us/
STERLING GTAKE E-MOBILITY LTD.,HARYANA,NO,"motor tech, function, sensor type, rated current (arms), rated voltage (v).",1743.24 (2023),113 (2023),https://sterlinggtake.com/
STINZO AUTOMOTIVES PVT. LTD.,,,,,,
"STONE WILL CO., LTD",,,,,,
STORK AUTO ENGINEERING PVT LTD,GURUGRAM,NO,"cables and quadrants, rubber components, control cables, exhaust parts, stabilizer arms and auto adjust clutch cables.",83.87 (2023),4.30 (2023),http://www.storkrubber.com/
STORK RUBBER PRODUCTS PRIVATE LIMITED,GURUGRAM,NO,"engine mountings, hydro mounts, strut mounts, rubber bushings etc. It caters to industries such as automotive, industrial, power etc.",775.31 (2023),57.23 (2023),http://www.storkrubber.com/
STUMPP SCHUELE AND SOMAPPA SPRINGS PVT LTD,BENGALURU,NO,"engine valve springs, fuel injector springs, stabilizer bars, suspension springs, wire forms, tension and torsion springs, spiral springs, diaphragm springs, pressed components, dye springs, and hose clamps.",5257.40 (2023),516.50 (2023),https://www.ssssprings.com/
SUBROS LIMITED,,,,,,
SUCCESS SALES CORR,,,,,,
SUGAN CABLES,DELHI,NO,AUTOMOTIVE CABLES,,,https://sugancables.com/about-us/
SUMITOMO BAKELITE,OVERSEAS,,,,,
SUNDARAM CLAYTON,,,,,,
SUNDRAM FASTENERS,,,,,,
SUNFLAG IRON AND STEEL COMPANY LIMITED,,,,,,
SUNLIGHT AUTOZONE,,,,,,
SUNSTAR PRECISION FORGE LTD.,NOIDA,NO,"brake, engine, front axle, crown wheel, companion flange, companion flange, inner metal, bottom clamp, gear wheel, coupling flange and straight bevel gears.",3148.44 (2023),419.04 (2023),https://www.sunstarforge.com/
SUPER AUTO AGENCY,,,,,,
SUPER AUTO INDIA LIMITED,HARYANA,NO,manufacturer and supplier of pressure die-casting and sheet metal components. ,6234.36 (2023),935.64 (2023),https://www.superautoindia.com/
SUPER CARS CLUB GARAGE,,,,,,
SUPER CIRCLE AUTO LIMITED,DELHI,NO,"disk break pads, break linings, roll linings, break shoes, backing plates, piston rings and bi-wheeler parts.",720.28 (2024),118.88 (2024),https://supercircle.com/
SUPER SCREWS PRIVATE LIMITED,HARYANA,NO,"nuts, bolts and screws. The firm caters to automobile usages, electronic, engineering and construction industries.",2715.73 (2023),483.30 (2023),https://www.superscrews.com/
SUPRAJIT ENGINEERING LIMITED,,,,,,
SUPREME METAL WORKS,,,,,,
SUPREME SALES AGENCY,,,,,,
SUPREME TREON PVT LTD,MUMBAI,NO,"dash inner insulation, door panel, floor module, engine encapsulation, wheel house liner, etc. The firm is tier-1 supplier of automotive interior trim and NVH (noise, vibration and harshness) solutions.",4985.48 (2023),505.65 (2023),https://www.supremegroup.co.in/
SURELOCK PLASTICS PVT LTD,,,,,,
SURESH INDUSTRIES,,,,,,
SURYA AUTO INDUSTRY,,,,,,
SURYA SPRINGS,MAHARASHTRA,NO,"spring assemblies, plastic mould parts, clamps, hose clamps, wire forms, compression springs, tension springs and torsion spring.",130.87 (2023),7.68 (2023),https://www.suryasprings.in/
SWARUP POLYMERS PVT LTD,,,,,,
SWASTIK OIL PRODUCTS MFG.,GUJARAT,NO,"aviation solutions, hydraulic brake fluids, specialty chemicals and military solutions. It caters to oil and gas sector.",,,https://swastikoil.com/home/
SWATANTRA AUTO INDUSTRIES PVT. LTD.,HARYANA,NO,"clutch release bearing, angular contact bearing, king pin bearing, cylindrical roller bearing, water pump bearing, pillow block bearing, tensioner and timing belt bearing, needle roller bearing, bearing with hub and sleeves, textile mill bearing, steering bearing, etc.",171.06 (2023),12.37 (2023),https://www.swatantrabearings.com/
T R IMPEX,,,,,,
TACO AIR INTERNATIONAL,,,,,,
TACO EV COMPONENTS SOLUTION,,,,,,
TACO PRESTOLITE,,,,,,
TACO PUNCH POWERTRAIN,,,,,,
TAIWAN TRANSPORTATION VEHICLE MANUFACTURERS ASSOCIATION (TTVMA),,,,,,
TAKSHI AUTO COMPONENTS PVT LTD,PUNE,NO,"E-Axle & Powertrain, Axle Housing, Independent Front Suspension, Suspension Systems, Axle Tube Assembly, Differential Case, Off Highway Axle, Rigid Front Axle, Sheet Metal & Tubular Parts",3156.46 (2023),228.98 (2023),https://www.takshiauto.com/about-us/
TALBROS AUTOMOTIVE COMPONENTS LIMITED,,,,,,
TALBROS AUTOMOTIVE COMPONENTS LTD.,,,,,,
TALBROS INDIPARTS PVT. LTD.,,,,,,
TALBROS MARUGO RUBBER PVT. LTD.,,,,,,
TASA AUTOMOTIVE COMPONENTS,GURUGRAM,NO,"wheel cylinder and piston, bevel gears, CNG components, key lock collar, etc.",,,https://www.tasaautomotive.com/
TATA AUTOCOMP COMPOSITE DIVISION,,,,,,
TATA AUTOCOMP GOTION,,,,,,
TATA AUTOCOMP GY BATTERIES,,,,,,
TATA AUTOCOMP HENDRICKSON,,,,,,
TATA AUTOCOMP INDEPENDENT AFTERMARKET,,,,,,
TATA AUTOCOMP INTERIOR & PLASTIC DIVISION,,,,,,
TATA AUTOCOMP KATCON,,,,,,
