Name of the company,Location,Listed,Products,Revenue ,EBITDA (IN MILLIONS),Website
BALL KING,LUDHIANA,NO,"stainless steel balls, chrome steel balls, carbon steel balls, bicycle steel balls, motorcycle steel balls, automobiles steel balls etc.",,,http://www.ballkings.net/
BANCO PRODUCTS INDIA LTD,GUJARAT,YES,"commercial vehicles, passenger vehicles and industrial products. Its product includes cooling systems, sealing gaskets, jointing gaskets and sheets, and rubber products.",10113.62 (2024),3229.03 (2024),http://www.bancoindia.com/
BAPL (BAPLROTOTECH PRIVATE LIMITED),GUJARAT,NO,"fuel tanks, urea tank, etc,",3180.60 (2024),458.03 (2024),https://rototech.it/timeline/rototech-in-india/
BAR INTERNATIONAL INC,,,,,,
BASANT AUTOTECH LLP,,,"diesel engines, diesel generators, corn grinding mills, coffee pulper, centrifugal water pumps and engine spare parts.",,,https://basantinternational.com/
BASANT FABRICATORS,,,,,,
BASANT INTERNATIONAL,,,,,,https://basantinternational.com/
BELMAKS PRIVATE LIMITED,HARYANA,NO,"Complete Chassis Frames and under-body structural parts  Super-structures - Tipper, Cargo Body, Container  ",1866.77 (2023),232.93 (2023),https://belmaks.in/#Contacts
BENARA UDYOG LIMITED,AGRA,NO,"disk brake pad, bushes, bearings, bi-metallic strips. ",1451.57 (2023),145.06 (2023),https://www.benaraudyog.com/
BENCHMARK LINERS,GUJARAT,NO,cylinder liners and engine parts for different applications.,,,https://benchmarkliners.in/
BENDFLEX MACHINARY INDIA PVT LTD.,,,,,,
BESOTO STARTING SYSTEM PRIVATE LIMITED,HARYANA,NO,"motors, alternators, dynamo, dyna motors, armatures, drive assembly, solenoid switches, field coils, rotors and stators.",604.12 (2022),24.83 (2022),https://besotogroupe.com/
BHARAT AXLES PVT. LTD,DELHI,NO,"gear, transmission driving shaft, bull pinion shaft, rear axle, coupler planetary, spider gear, arm hydraulic lift, clutch shaft, reverse gear pin, crown pinion, tie rod etc.",50.47 (2023),4.17 (2023),http://www.bharataxles.com/
BHARAT INDUSTRIAL CORPORATION,GURGAON,NO,"trolley wheel, castor wheel, handling trolley, etc. under the brand name apex. It offers range of heavy duty caster, light duty caster, medium duty caster, pu caster wheel, rubber caster wheel, six wheel caster & trolley wheels etc.",287.20 (2024),21.73 (2024),https://www.trolleywheel.in/
BHARATI FIRE ENGINEERS,,,,,,
BHATIA PIPE INDUSTRIES,,,,,,
BIG BOSS INTERNATIONAL,,,,,,
BIMETAL BEARINGS LIMITED,CHENNAI,YES,"engine bearings, bushings, thrust washers, alloy powder and bimetallic strips, automotive spectrum covering Passenger cars, MUVs, LCVs, M&HCVs, Tractors, Industrial engines and two wheelers apart as well as serves the requirements of defence and railway establishments.",2293.08 (2023),204.76 (2023),http://www.bimite.co.in/
BIOLIGHT LTD,,,,,,
BITS N BYTES SOFT PVT LTD,,,,,,
BJ SPRING LTD,,,,,,
BLACKBIRD,,,,,,
BLW ENGINES VALVES PVT LTD,HARYANA,NO,"valves, valve guide, valve seat inserts, sheet metal parts, clutch hub, rocker arms etc.",258.58 (2023),9.33 (2023),https://blwenginevalves.com/
BOHRA RUBBER PRIVATE LIMITED,HARYANA,NO,"extruded components, door weatherstrips, inner and outer beltstrips, secondary seals, quarter window weatherstrips, decklid seals, roof rail weatherstrip, glass run weatherstrips, windshield mouldings, hood-to-cowl weatherstrips, moulded components, grommets, bellows, buffers, steering column and other boots, specialty assemble components, engine mounts, transmission mounts, strut mounts, body and cradle mounts.",546.23 (2023),37.41 (2023),https://www.bohra.com/
BOLLHOFF FASTENINGS PVT LTD,GURUGRAM,NO,"services such as Service solutions, Technical services, application engineering support service, technical services, etc. It offer its services to automotive industry, aerospace industry, agricultural industry, construction, etc.",505.95 (2022),115.97 (2022),https://www.boellhoff.com/in-en/
BONY POLYMERS PRIVATE LIMITED,HARYANA,NO,"rubber moulded parts, rubber to metal bonded parts, extrusion, plastic moulded parts, sheet metal parts and railway products.",4529.21 (2023),463.56 (2023),http://www.bonypolymers.com/
BORGWARNER BATTERY AND CHARGING SYSTEMS,,,,,,http://www.borgwarner.com/
BORGWARNER COOLING SYSTEMS INDIA PVT LTD.,TAMIL NADU,NO,"manufacturing and sypplying engine cooling systems, timing chains, transmission systems and turbo chargers.",5111.36 (2023),1780.11 (2023),http://www.borgwarner.com/
BORGWARNER EMISSIONS,DELHI,NO,"battery systems, dc fast charger, controllers, electronic vehicle transmission, electric drive motors, electric drive module, power electronics, thermal management.",4343.61 (2023),932.91 (2023),http://www.borgwarner.com/
BORGWARNER MORSE SYSTEMS,TAMIL NADU,NO,manufactures automotive chain systems and components for engine timing. ,3467.86 (2023),715.69 (2023),http://www.borgwarner.com/
BORGWARNER POWER DRIVE SYSTEMS,,,,,,http://www.borgwarner.com/
BORGWARNER TECHNICAL CENTER,BENGALURU,NO,"Borgwarner India Technical Center Pvt. Ltd. is engaging in business of automobile manufacturing. The company was incorporated in 2023 and is based in Bengaluru, Karnataka.",,,http://www.borgwarner.com/
BOSCH AUTOMOTIVE ELECTRONICS INDIA PRIVATE LIMITED,,,,,,
BOSCH CHASSIS SYSTEMS INDIA PRIVATE LIMITED,,,,,,
BOSCH ELECTRICAL DRIVES INDIA PRIVATE LIMITED,,,,,,
BOSCH GLOBAL SOFTWARE TECHNOLOGIES PVT LTD,,,,,,
BOSCH LIMITED,,,,,,
BOSCH LIMITED &NDASH,,,,,,
BOSCH REXROTH (INDIA) PRIVATE LIMITED,,,,,,
BRAKES INDIA PRIVATE LIMITED,CHENNAI,NO,"grey and ductile iron castings, including wheel cylinders, brake and clutch master cylinders, tractor brake discs, tractor lift cylinders, housings, pulleys, bearing covers, pump housings, oil seal retainers, refrigerator compressor bodies, crank shafts, caliper brake housings and brackets, turbine housings, torque plates for heavy duty brakes, steering knuckles, drive end flanges, differential casing for automotive and tractor applications, crank shafts, engine bearing caps, engine bearing housings, and chassis parts and grey iron products, such as bearing housings, drive end flanges, and crank cases for automotive, refrigeration and air-conditioning industries.",71339.50 (2024),11536.60 (2024),https://www.brakesindia.com/
BREMSKERL,MUMBAI,NO,FRICTION TECH,762.31 (2024),113.20 (2024),https://bremskerl.de/en/
BRITANNIA ENGINEERING COMPANY,,,,,,
BRK PARAS CAR ACCESSORIES,,,,,,
BSH HOME APPLIANCES PRIVATE LIMITED,,,,,,
BST AUTO,PUNJAB,,,,,https://bstautogroup.com/about-us.html
BUS COACH INDIA MAGAZINE,,,,,,
C ELECTRIC AUTOMOTIVE DRIVES PVT LTD,KERELA,NO,"light electric vehicle, motor controller; bldc power train such as e-rickshaw power train, e-auto power train; and vehicle instrument cluster.",235.72 (2024),9.18 (2024),http://c-electricdrives.com/
C.E. INFO SYSTEMS LIMITED (MAPMYINDIA) - PARENT COMPANY,,,,,,
CAMPBELL FITTING,,,,,,
CANBUS AUDIO INTERNATIONAL,,,,,,
CANOPY ESSENCE PVT LTD,,,,,,
CAPCP ENGINEERING SERVICES PRIVATE LIMITED,CHENNAI,NO,AUTOMOTIVE BENCHMARKING,,,http://www.capcp.in/
